vendor_name
Microsoft South Africa (Pty) Ltd
IBM South Africa
Oracle Corporation
SAP SE
Deloitte & Touche
PricewaterhouseCoopers
KPMG Services
Ernst & Young Advisory
Accenture South Africa
Vodacom Group
MTN Group
Standard Bank
FirstRand Bank
Absa Group
Nedbank
Old Mutual
Discovery Health
Shoprite Holdings
Pick n Pay Stores
Woolworths Holdings
Sasol Limited
Anglo American
BHP Group
Transnet SOC
Eskom Holdings
Telkom SA
Bidvest Group
Tiger Brands
MultiChoice Group
City Lodge Hotels
Microsoft South Africa (Pty) Ltd
""
A
